POST. DATE, TRANSACTION, TAG/LICENSE, ENTRY DATE, ENTRY PLAZA, EXIT DATE, EXIT PLAZA, CLASS, AMOUNT
9/12/2022 12:42:45 AM, AWAY AGENCY VTOLL,2882823   ,1/1/0001 12:00:00 AM,,9/6/2022 1:55:18 PM,Central Florida Expressway Authority - 331,3  ,2.15
9/12/2022 12:42:45 AM, AWAY AGENCY VTOLL,2852142   ,1/1/0001 12:00:00 AM,,9/6/2022 2:00:56 PM,Central Florida Expressway Authority - 331,3  ,2.15
9/12/2022 12:42:45 AM, AWAY AGENCY VTOLL,2854541   ,1/1/0001 12:00:00 AM,,9/6/2022 3:38:52 PM,Central Florida Expressway Authority - 331,3  ,2.15
9/12/2022 12:42:45 AM, AWAY AGENCY VTOLL,2854541   ,1/1/0001 12:00:00 AM,,9/6/2022 3:44:37 PM,Central Florida Expressway Authority - 336,3  ,0.5
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2892185   ,1/1/0001 12:00:00 AM,,9/6/2022 4:11:27 PM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2842074   ,1/1/0001 12:00:00 AM,,9/6/2022 4:13:55 PM,Central Florida Expressway Authority - 331,3  ,2.15
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882827   ,1/1/0001 12:00:00 AM,,9/6/2022 4:41:11 PM,Central Florida Expressway Authority - 434,5  ,2.08
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882827   ,1/1/0001 12:00:00 AM,,9/6/2022 4:45:52 PM,Central Florida Expressway Authority - 433,5  ,2.21
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882827   ,1/1/0001 12:00:00 AM,,9/6/2022 4:53:11 PM,Central Florida Expressway Authority - 367,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882827   ,1/1/0001 12:00:00 AM,,9/6/2022 5:03:31 PM,Central Florida Expressway Authority - 375,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2842074   ,1/1/0001 12:00:00 AM,,9/6/2022 6:08:59 PM,Central Florida Expressway Authority - 331,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2842074   ,1/1/0001 12:00:00 AM,,9/6/2022 6:47:36 PM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882738   ,1/1/0001 12:00:00 AM,,9/6/2022 7:08:54 PM,Central Florida Expressway Authority - 331,3  ,2.15
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,3138062   ,1/1/0001 12:00:00 AM,,9/6/2022 7:28:28 PM,Central Florida Expressway Authority - 338,3  ,2.15
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2842074   ,1/1/0001 12:00:00 AM,,9/6/2022 7:35:52 PM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2842027   ,1/1/0001 12:00:00 AM,,9/6/2022 7:40:15 PM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2852161   ,1/1/0001 12:00:00 AM,,9/6/2022 7:54:33 PM,Central Florida Expressway Authority - 340,5  ,1.23
